anio;id_sector_productivo;nombre_sector_productivo;nombre_variable;valor;unidad_medida;Viajes_Y_Turismo;concepto_desc;Socio;ADUANA;USO_ECONOMICO;Producto;Provincia;Macrobloque
2016;D;INDUSTRIA_MANUFACTURERA;AR_PUESTOS;1235716,0;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2016;D;INDUSTRIA_MANUFACTURERA;NOASAL_PUESTOS;627337,9;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2016;D;INDUSTRIA_MANUFACTURERA;ANR_PERSONAS;450661,4;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2016;D;INDUSTRIA_MANUFACTURERA;RTA_TOTAL;516060,8;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2016;D;INDUSTRIA_MANUFACTURERA;RTA_AR;480297,7;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2016;D;INDUSTRIA_MANUFACTURERA;RTA_ANR;35763,1;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2016;D;INDUSTRIA_MANUFACTURERA;MUJ%TOT(EPH);0,3;Porcentaje;NA;NA;NA;NA;NA;NA;NA;5
2016;D;INDUSTRIA_MANUFACTURERA;VAB_PCONST_2004;118244,6;ARS;NA;NA;NA;NA;NA;NA;NA;2
2017;D;INDUSTRIA_MANUFACTURERA;AR_PUESTOS;1206919,7;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2017;D;INDUSTRIA_MANUFACTURERA;NOASAL_PUESTOS;646771,7;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2017;D;INDUSTRIA_MANUFACTURERA;ANR_PERSONAS;453311,4;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2017;D;INDUSTRIA_MANUFACTURERA;RTA_TOTAL;656687,1;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2017;D;INDUSTRIA_MANUFACTURERA;RTA_AR;611410,6;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2017;D;INDUSTRIA_MANUFACTURERA;RTA_ANR;45276,5;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2017;D;INDUSTRIA_MANUFACTURERA;MUJ%TOT(EPH);0,3;Porcentaje;NA;NA;NA;NA;NA;NA;NA;5
2017;D;INDUSTRIA_MANUFACTURERA;VAB_PCONST_2004;121288,3;ARS;NA;NA;NA;NA;NA;NA;NA;2
2018;D;INDUSTRIA_MANUFACTURERA;AR_PUESTOS;1173722,8;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2018;D;INDUSTRIA_MANUFACTURERA;NOASAL_PUESTOS;654680,8;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2018;D;INDUSTRIA_MANUFACTURERA;ANR_PERSONAS;454121,3;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2018;D;INDUSTRIA_MANUFACTURERA;RTA_TOTAL;806838,7;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2018;D;INDUSTRIA_MANUFACTURERA;RTA_AR;751545,2;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2018;D;INDUSTRIA_MANUFACTURERA;RTA_ANR;55293,5;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2018;D;INDUSTRIA_MANUFACTURERA;MUJ%TOT(EPH);0,3;Porcentaje;NA;NA;NA;NA;NA;NA;NA;5
2018;D;INDUSTRIA_MANUFACTURERA;VAB_PCONST_2004;115460,5;ARS;NA;NA;NA;NA;NA;NA;NA;2
2019;D;INDUSTRIA_MANUFACTURERA;AR_PUESTOS;1113850,5;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2019;D;INDUSTRIA_MANUFACTURERA;NOASAL_PUESTOS;708669,6;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2019;D;INDUSTRIA_MANUFACTURERA;ANR_PERSONAS;469297,4;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2019;D;INDUSTRIA_MANUFACTURERA;RTA_TOTAL;1096947,7;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2019;D;INDUSTRIA_MANUFACTURERA;RTA_AR;1017191,1;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2019;D;INDUSTRIA_MANUFACTURERA;RTA_ANR;79756,6;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2019;D;INDUSTRIA_MANUFACTURERA;MUJ%TOT(EPH);0,3;Porcentaje;NA;NA;NA;NA;NA;NA;NA;5
2019;D;INDUSTRIA_MANUFACTURERA;VAB_PCONST_2004;108278,4;ARS;NA;NA;NA;NA;NA;NA;NA;2
2020;D;INDUSTRIA_MANUFACTURERA;AR_PUESTOS;1088336,9;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2020;D;INDUSTRIA_MANUFACTURERA;NOASAL_PUESTOS;731450,2;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2020;D;INDUSTRIA_MANUFACTURERA;ANR_PERSONAS;408319,3;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2020;D;INDUSTRIA_MANUFACTURERA;RTA_TOTAL;1453724,7;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2020;D;INDUSTRIA_MANUFACTURERA;RTA_AR;1362354,0;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2020;D;INDUSTRIA_MANUFACTURERA;RTA_ANR;91370,7;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2020;D;INDUSTRIA_MANUFACTURERA;MUJ%TOT(EPH);0,3;Porcentaje;NA;NA;NA;NA;NA;NA;NA;5
2020;D;INDUSTRIA_MANUFACTURERA;VAB_PCONST_2004;99875,3;ARS;NA;NA;NA;NA;NA;NA;NA;2
2021;D;INDUSTRIA_MANUFACTURERA;AR_PUESTOS;1114488,6;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2021;D;INDUSTRIA_MANUFACTURERA;NOASAL_PUESTOS;740085,9;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2021;D;INDUSTRIA_MANUFACTURERA;ANR_PERSONAS;476193,7;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2021;D;INDUSTRIA_MANUFACTURERA;RTA_TOTAL;2274202,0;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2021;D;INDUSTRIA_MANUFACTURERA;RTA_AR;2121799,0;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2021;D;INDUSTRIA_MANUFACTURERA;RTA_ANR;152403,1;Millones (ARS);NA;NA;NA;NA;NA;NA;NA;3
2021;D;INDUSTRIA_MANUFACTURERA;MUJ%TOT(EPH);0,3;Porcentaje;NA;NA;NA;NA;NA;NA;NA;5
2021;D;INDUSTRIA_MANUFACTURERA;VAB_PCONST_2004;115610,6;ARS;NA;NA;NA;NA;NA;NA;NA;2
2011;D;INDUSTRIA_MANUFACTURERA;AR_PUESTOS;1244371,2;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
2011;D;INDUSTRIA_MANUFACTURERA;NOASAL_PUESTOS;547006,0;Cantidad;NA;NA;NA;NA;NA;NA;NA;1
